#Name	Primary	Mass	x	y	z	vx	vy	vz
#positions and velocities as of 2017-JAN-01 from http://ssd.jpl.nasa.gov/horizons.cgi
Sol	no primary	1.988544E+30	0.0	0.0	0.0	0.0	0.0	0.0
Mercury	Sol	3.302E+23	-2.144813780875203E+10	4.244231787830339E+10	5.435744265998827E+09	-5.327430963933052E+04	-2.012564679152630E+04	3.242968136038893E+03
Venus	Sol	4.8685E+24	6.991073513483752E+10	8.240196718660071E+10	-2.904393749885380E+09	-2.681207244298414E+04	2.250638674290204E+04	1.855831643492386E+03
Earth	Sol	5.97219E+24	-2.686981987561484E+10	1.446304615108057E+11	-5.488342537105083E+06	-2.978172178935505E+04	-5.560030327342782E+03	1.372659284534006E+00
Mars	Sol	6.4185E+23	2.026606647967910E+11	5.787566171988636E+10	-3.760905019654889E+09	-5.725979134658776E+03	2.537138540297251E+04	6.722010395376810E+02
Jupiter	Sol	1.89813E+27	-8.018047377705213E+11	-1.514934328321026E+11	1.857047412697010E+10	2.271156931334361E+03	-1.223322415760412E+04	-2.812169411114951E-03
Saturn	Sol	5.68319E+26	-2.795230050067841E+11	-1.476486784761045E+12	3.678963184199864E+10	8.964987072497195E+03	-1.836831238589299E+03	-3.247253093171359E+02
Uranus	Sol	8.68103E+25	2.743510980845031E+12	1.170785218608810E+12	-3.117542296091282E+10	-2.719167004520275E+03	5.934139669852269E+03	5.703136132881292E+01
Neptune	Sol	1.0241E+26	4.239017555140744E+12	-1.450114775337559E+12	-6.783048741487205E+10	1.727579590698030E+03	5.163992633060530E+03	-1.466592796005441E+02
Luna	Earth	734.9E+20	2.596294938533583E+08	-2.924490059499184E+08	1.349825044480452E+07	7.265191381517897E+02	6.930189002473139E+02	-8.395948923923371E+01
